C,Five-Minute Final Locational Marginal Prices
C,Filename: lmp_rt_final_4437_20201022_20201028.csv
C,Report generated 2021-01-23 03:02:24 EST
H,Location ID,Local Time,Energy Component,Congestion Component,Loss Component,LMP
D,4437,2020-10-22 11:00:00,22.49,0.0,-0.14,22.35
D,4437,2020-10-22 11:05:00,21.56,0.0,-0.13,21.43
D,4437,2020-10-22 11:10:00,21.56,0.0,-0.13,21.43
D,4437,2020-10-22 11:15:00,20.1,0.0,-0.21,19.89
D,4437,2020-10-22 11:20:00,22.12,0.0,-0.2,21.92
D,4437,2020-10-22 11:25:00,22.12,0.0,-0.2,21.92
D,4437,2020-10-22 11:30:00,22.12,0.0,-0.2,21.92
D,4437,2020-10-22 11:35:00,21.69,0.0,-0.28,21.41
D,4437,2020-10-22 11:40:00,21.69,0.0,-0.28,21.41
D,4437,2020-10-22 11:45:00,21.69,0.0,-0.28,21.41
D,4437,2020-10-22 11:50:00,22.5,0.0,-0.29,22.21
D,4437,2020-10-22 11:55:00,22.5,0.0,-0.29,22.21
D,4437,2020-10-22 12:00:00,22.5,0.0,-0.29,22.21
D,4437,2020-10-22 12:05:00,20.06,0.0,-0.23,19.83
D,4437,2020-10-22 12:10:00,20.06,0.0,-0.23,19.83
D,4437,2020-10-22 12:15:00,20.03,0.0,-0.18,19.85
D,4437,2020-10-22 12:20:00,20.03,0.0,-0.18,19.85
D,4437,2020-10-22 12:25:00,20.03,0.0,-0.18,19.85
D,4437,2020-10-22 12:30:00,20.03,0.0,-0.18,19.85
D,4437,2020-10-22 12:35:00,19.5,0.0,-0.13,19.37
D,4437,2020-10-22 12:40:00,19.96,0.0,-0.19,19.77
D,4437,2020-10-22 12:45:00,19.96,0.0,-0.19,19.77
D,4437,2020-10-22 12:50:00,19.51,0.0,-0.17,19.34
D,4437,2020-10-22 12:55:00,19.51,0.0,-0.17,19.34
D,4437,2020-10-22 13:00:00,19.51,0.0,-0.17,19.34
D,4437,2020-10-22 13:05:00,27.7,0.0,-0.3,27.4
D,4437,2020-10-22 13:10:00,34.15,0.0,-0.37,33.78
D,4437,2020-10-22 13:15:00,34.15,0.0,-0.37,33.78
D,4437,2020-10-22 13:20:00,34.22,0.0,-0.28,33.94
D,4437,2020-10-22 13:25:00,34.22,0.0,-0.28,33.94
D,4437,2020-10-22 13:30:00,34.22,0.0,-0.28,33.94
D,4437,2020-10-22 13:35:00,34.51,0.0,-0.31,34.2
D,4437,2020-10-22 13:40:00,35.2,0.0,-0.31,34.89
D,4437,2020-10-22 13:45:00,35.2,0.0,-0.31,34.89
D,4437,2020-10-22 13:50:00,35.2,0.0,-0.31,34.89
D,4437,2020-10-22 13:55:00,35.23,0.0,-0.3,34.93
D,4437,2020-10-22 14:00:00,35.33,0.0,-0.33,35.0
D,4437,2020-10-22 14:05:00,30.96,0.0,-0.29,30.67
D,4437,2020-10-22 14:10:00,30.96,0.0,-0.29,30.67
D,4437,2020-10-22 14:15:00,35.23,0.0,-0.36,34.87
D,4437,2020-10-22 14:20:00,35.23,0.0,-0.36,34.87
D,4437,2020-10-22 14:25:00,35.23,0.0,-0.36,34.87
D,4437,2020-10-22 14:30:00,35.23,0.0,-0.36,34.87
D,4437,2020-10-22 14:35:00,35.22,0.0,-0.46,34.76
D,4437,2020-10-22 14:40:00,35.22,0.0,-0.46,34.76
D,4437,2020-10-22 14:45:00,35.22,0.0,-0.46,34.76
D,4437,2020-10-22 14:50:00,27.84,0.0,-0.4,27.44
D,4437,2020-10-22 14:55:00,27.84,0.0,-0.4,27.44
D,4437,2020-10-22 15:00:00,27.84,0.0,-0.4,27.44
D,4437,2020-10-22 15:05:00,35.22,0.0,-0.55,34.67
D,4437,2020-10-22 15:10:00,25.97,0.0,-0.41,25.56
D,4437,2020-10-22 15:15:00,25.97,0.0,-0.41,25.56
D,4437,2020-10-22 15:20:00,27.75,0.0,-0.39,27.36
D,4437,2020-10-22 15:25:00,27.75,0.0,-0.39,27.36
D,4437,2020-10-22 15:30:00,35.19,0.0,-0.53,34.66
D,4437,2020-10-22 15:35:00,35.19,0.0,-0.53,34.66
D,4437,2020-10-22 15:40:00,35.19,0.0,-0.53,34.66
D,4437,2020-10-22 15:45:00,35.19,0.0,-0.53,34.66
D,4437,2020-10-22 15:50:00,35.18,0.0,-0.59,34.59
D,4437,2020-10-22 15:55:00,35.18,0.0,-0.59,34.59
D,4437,2020-10-22 16:00:00,35.57,0.0,-0.66,34.91
D,4437,2020-10-22 16:05:00,25.12,0.0,-0.45,24.67
D,4437,2020-10-22 16:10:00,25.12,0.0,-0.45,24.67
D,4437,2020-10-22 16:15:00,25.12,0.0,-0.45,24.67
D,4437,2020-10-22 16:20:00,35.23,0.0,-0.59,34.64
D,4437,2020-10-22 16:25:00,35.23,0.0,-0.59,34.64
D,4437,2020-10-22 16:30:00,72.44,0.0,-1.12,71.32
D,4437,2020-10-22 16:35:00,36.13,0.0,-0.61,35.52
D,4437,2020-10-22 16:40:00,36.13,0.0,-0.61,35.52
D,4437,2020-10-22 16:45:00,36.13,0.0,-0.61,35.52
D,4437,2020-10-22 16:50:00,36.23,0.0,-0.61,35.62
D,4437,2020-10-22 16:55:00,36.23,0.0,-0.61,35.62
D,4437,2020-10-22 17:00:00,34.04,0.0,-0.65,33.39
D,4437,2020-10-22 17:05:00,30.79,0.0,-0.58,30.21
D,4437,2020-10-22 17:10:00,30.79,0.0,-0.58,30.21
D,4437,2020-10-22 17:15:00,30.79,0.0,-0.58,30.21
D,4437,2020-10-22 17:20:00,35.22,0.0,-0.64,34.58
D,4437,2020-10-22 17:25:00,37.91,0.0,-0.74,37.17
D,4437,2020-10-22 17:30:00,37.91,0.0,-0.74,37.17
D,4437,2020-10-22 17:35:00,45.38,0.0,-1.0,44.38
D,4437,2020-10-22 17:40:00,45.38,0.0,-1.0,44.38
D,4437,2020-10-22 17:45:00,52.53,0.0,-1.27,51.26
D,4437,2020-10-22 17:50:00,41.02,0.0,-1.0,40.02
D,4437,2020-10-22 17:55:00,52.68,0.0,-1.27,51.41
D,4437,2020-10-22 18:00:00,52.68,0.0,-1.27,51.41
D,4437,2020-10-22 18:05:00,38.36,0.0,-0.89,37.47
D,4437,2020-10-22 18:10:00,38.36,0.0,-0.89,37.47
D,4437,2020-10-22 18:15:00,38.36,0.0,-0.89,37.47
D,4437,2020-10-22 18:20:00,34.22,0.0,-0.83,33.39
D,4437,2020-10-22 18:25:00,34.22,0.0,-0.83,33.39
D,4437,2020-10-22 18:30:00,34.2,0.0,-0.92,33.28
D,4437,2020-10-22 18:35:00,34.2,0.0,-0.92,33.28
D,4437,2020-10-22 18:40:00,34.2,0.0,-0.92,33.28
D,4437,2020-10-22 18:45:00,34.2,0.0,-0.92,33.28
D,4437,2020-10-22 18:50:00,32.13,0.0,-0.86,31.27
D,4437,2020-10-22 18:55:00,32.13,0.0,-0.86,31.27
D,4437,2020-10-22 19:00:00,32.13,0.0,-0.86,31.27
D,4437,2020-10-22 19:05:00,45.75,0.0,-1.2,44.55
D,4437,2020-10-22 19:10:00,45.75,0.0,-1.2,44.55
D,4437,2020-10-22 19:15:00,45.75,0.0,-1.2,44.55
D,4437,2020-10-22 19:20:00,34.02,0.0,-0.76,33.26
D,4437,2020-10-22 19:25:00,34.02,0.0,-0.76,33.26
D,4437,2020-10-22 19:30:00,32.09,0.0,-0.81,31.28
D,4437,2020-10-22 19:35:00,32.09,0.0,-0.81,31.28
D,4437,2020-10-22 19:40:00,32.09,0.0,-0.82,31.27
D,4437,2020-10-22 19:45:00,32.09,0.0,-0.82,31.27
D,4437,2020-10-22 19:50:00,31.24,0.0,-0.71,30.53
D,4437,2020-10-22 19:55:00,31.24,0.0,-0.71,30.53
D,4437,2020-10-22 20:00:00,31.24,0.0,-0.71,30.53
D,4437,2020-10-22 20:05:00,35.05,0.0,-0.71,34.34
D,4437,2020-10-22 20:10:00,35.05,0.0,-0.71,34.34
D,4437,2020-10-22 20:15:00,35.05,0.0,-0.71,34.34
D,4437,2020-10-22 20:20:00,29.29,0.0,-0.66,28.63
D,4437,2020-10-22 20:25:00,29.29,0.0,-0.66,28.63
D,4437,2020-10-22 20:30:00,29.29,0.0,-0.66,28.63
D,4437,2020-10-22 20:35:00,31.19,0.0,-0.63,30.56
D,4437,2020-10-22 20:40:00,31.19,0.0,-0.63,30.56
D,4437,2020-10-22 20:45:00,31.19,0.0,-0.63,30.56
D,4437,2020-10-22 20:50:00,22.46,0.0,-0.37,22.09
D,4437,2020-10-22 20:55:00,21.79,0.0,-0.34,21.45
D,4437,2020-10-22 21:00:00,21.79,0.0,-0.34,21.45
D,4437,2020-10-22 21:05:00,23.33,0.0,-0.34,22.99
D,4437,2020-10-22 21:10:00,23.33,0.0,-0.34,22.99
D,4437,2020-10-22 21:15:00,23.03,0.0,-0.41,22.62
D,4437,2020-10-22 21:20:00,35.79,0.0,-0.61,35.18
D,4437,2020-10-22 21:25:00,35.79,0.0,-0.61,35.18
D,4437,2020-10-22 21:30:00,34.04,0.0,-0.66,33.38
D,4437,2020-10-22 21:35:00,22.91,0.0,-0.44,22.47
D,4437,2020-10-22 21:40:00,20.71,0.0,-0.37,20.34
D,4437,2020-10-22 21:45:00,20.32,0.0,-0.32,20.0
D,4437,2020-10-22 21:50:00,20.32,0.0,-0.32,20.0
D,4437,2020-10-22 21:55:00,19.93,0.0,-0.32,19.61
D,4437,2020-10-22 22:00:00,19.93,0.0,-0.32,19.61
D,4437,2020-10-22 22:05:00,19.23,0.0,-0.25,18.98
D,4437,2020-10-22 22:10:00,19.23,0.0,-0.25,18.98
D,4437,2020-10-22 22:15:00,19.23,0.0,-0.25,18.98
D,4437,2020-10-22 22:20:00,19.16,0.0,-0.29,18.87
D,4437,2020-10-22 22:25:00,19.16,0.0,-0.29,18.87
D,4437,2020-10-22 22:30:00,19.16,0.0,-0.29,18.87
D,4437,2020-10-22 22:35:00,19.54,0.0,-0.33,19.21
D,4437,2020-10-22 22:40:00,31.0,0.0,-0.55,30.45
D,4437,2020-10-22 22:45:00,20.56,0.0,-0.29,20.27
D,4437,2020-10-22 22:50:00,19.41,0.0,-0.25,19.16
D,4437,2020-10-22 22:55:00,18.87,0.0,-0.24,18.63
D,4437,2020-10-22 23:00:00,18.87,0.0,-0.24,18.63
D,4437,2020-10-22 23:05:00,20.31,0.0,-0.24,20.07
D,4437,2020-10-22 23:10:00,20.31,0.0,-0.24,20.07
D,4437,2020-10-22 23:15:00,20.31,0.0,-0.24,20.07
D,4437,2020-10-22 23:20:00,18.95,0.0,-0.14,18.81
D,4437,2020-10-22 23:25:00,17.7,0.0,-0.18,17.52
D,4437,2020-10-22 23:30:00,17.17,0.0,-0.19,16.98
D,4437,2020-10-22 23:35:00,16.74,0.0,-0.2,16.54
D,4437,2020-10-22 23:40:00,16.74,0.0,-0.2,16.54
D,4437,2020-10-22 23:45:00,16.74,0.0,-0.2,16.54
D,4437,2020-10-22 23:50:00,15.75,0.0,-0.19,15.56
D,4437,2020-10-22 23:55:00,17.14,0.0,-0.19,16.95
D,4437,2020-10-23 00:00:00,16.65,0.0,-0.15,16.5
D,4437,2020-10-23 00:05:00,15.13,0.0,-0.11,15.02
D,4437,2020-10-23 00:10:00,15.13,0.0,-0.11,15.02
D,4437,2020-10-23 00:15:00,15.13,0.0,-0.11,15.02
D,4437,2020-10-23 00:20:00,15.46,0.0,-0.13,15.33
D,4437,2020-10-23 00:25:00,15.46,0.0,-0.13,15.33
D,4437,2020-10-23 00:30:00,15.46,0.0,-0.13,15.33
D,4437,2020-10-23 00:35:00,15.31,0.0,-0.09,15.22
D,4437,2020-10-23 00:40:00,15.21,0.01,-0.05,15.17
D,4437,2020-10-23 00:45:00,15.21,0.01,-0.05,15.17
D,4437,2020-10-23 00:50:00,15.21,0.01,-0.05,15.17
D,4437,2020-10-23 00:55:00,16.59,0.01,-0.04,16.56
D,4437,2020-10-23 01:00:00,16.59,0.01,-0.04,16.56
D,4437,2020-10-23 01:05:00,16.59,0.01,-0.04,16.56
D,4437,2020-10-23 01:10:00,15.73,0.01,-0.05,15.69
D,4437,2020-10-23 01:15:00,15.73,0.01,-0.05,15.69
D,4437,2020-10-23 01:20:00,16.19,0.01,-0.02,16.18
D,4437,2020-10-23 01:25:00,16.19,0.01,-0.02,16.18
D,4437,2020-10-23 01:30:00,16.19,0.01,-0.02,16.18
D,4437,2020-10-23 01:35:00,15.69,0.01,-0.01,15.69
D,4437,2020-10-23 01:40:00,15.69,0.01,-0.04,15.66
D,4437,2020-10-23 01:45:00,15.69,0.01,-0.04,15.66
D,4437,2020-10-23 01:50:00,15.69,0.01,-0.06,15.64
D,4437,2020-10-23 01:55:00,15.69,0.01,-0.06,15.64
D,4437,2020-10-23 02:00:00,14.68,0.01,-0.02,14.67
D,4437,2020-10-23 02:05:00,14.68,0.01,-0.02,14.67
D,4437,2020-10-23 02:10:00,14.68,0.01,-0.02,14.67
D,4437,2020-10-23 02:15:00,14.68,0.01,-0.02,14.67
D,4437,2020-10-23 02:20:00,14.68,0.01,-0.02,14.67
D,4437,2020-10-23 02:25:00,15.13,0.01,-0.06,15.08
D,4437,2020-10-23 02:30:00,15.13,0.01,-0.06,15.08
D,4437,2020-10-23 02:35:00,15.13,0.01,-0.06,15.08
D,4437,2020-10-23 02:40:00,15.13,0.01,-0.06,15.08
D,4437,2020-10-23 02:45:00,15.13,0.01,-0.06,15.08
D,4437,2020-10-23 02:50:00,14.81,0.02,-0.04,14.79
D,4437,2020-10-23 02:55:00,14.81,0.02,-0.04,14.79
D,4437,2020-10-23 03:00:00,14.81,0.02,-0.04,14.79
D,4437,2020-10-23 03:05:00,15.13,0.0,-0.04,15.09
D,4437,2020-10-23 03:10:00,15.03,0.0,-0.03,15.0
D,4437,2020-10-23 03:15:00,15.03,0.0,-0.03,15.0
D,4437,2020-10-23 03:20:00,14.69,0.0,-0.05,14.64
D,4437,2020-10-23 03:25:00,15.02,0.0,-0.05,14.97
D,4437,2020-10-23 03:30:00,15.02,0.0,-0.05,14.97
D,4437,2020-10-23 03:35:00,15.02,0.0,-0.05,14.97
D,4437,2020-10-23 03:40:00,15.02,0.0,-0.05,14.97
D,4437,2020-10-23 03:45:00,15.02,0.0,-0.05,14.97
D,4437,2020-10-23 03:50:00,14.87,0.0,-0.03,14.84
D,4437,2020-10-23 03:55:00,14.87,0.0,-0.03,14.84
D,4437,2020-10-23 04:00:00,14.87,0.0,-0.03,14.84
D,4437,2020-10-23 04:05:00,14.92,0.0,-0.04,14.88
D,4437,2020-10-23 04:10:00,14.92,0.0,-0.04,14.88
D,4437,2020-10-23 04:15:00,14.92,0.0,-0.04,14.88
D,4437,2020-10-23 04:20:00,15.04,0.0,-0.04,15.0
D,4437,2020-10-23 04:25:00,15.04,0.0,-0.04,15.0
D,4437,2020-10-23 04:30:00,15.04,0.0,-0.04,15.0
D,4437,2020-10-23 04:35:00,15.24,0.0,-0.03,15.21
D,4437,2020-10-23 04:40:00,15.24,0.0,-0.03,15.21
D,4437,2020-10-23 04:45:00,15.24,0.0,-0.03,15.21
D,4437,2020-10-23 04:50:00,15.24,0.0,-0.03,15.21
D,4437,2020-10-23 04:55:00,15.29,0.0,-0.08,15.21
D,4437,2020-10-23 05:00:00,15.29,0.0,-0.08,15.21
D,4437,2020-10-23 05:05:00,14.19,0.02,-0.08,14.13
D,4437,2020-10-23 05:10:00,14.19,0.02,-0.08,14.13
D,4437,2020-10-23 05:15:00,14.19,0.02,-0.08,14.13
D,4437,2020-10-23 05:20:00,14.98,0.2,-0.15,15.03
D,4437,2020-10-23 05:25:00,14.98,0.2,-0.15,15.03
D,4437,2020-10-23 05:30:00,15.37,0.21,-0.14,15.44
D,4437,2020-10-23 05:35:00,15.58,0.1,-0.16,15.52
D,4437,2020-10-23 05:40:00,15.58,0.1,-0.16,15.52
D,4437,2020-10-23 05:45:00,15.58,0.1,-0.16,15.52
D,4437,2020-10-23 05:50:00,15.68,0.21,-0.16,15.73
D,4437,2020-10-23 05:55:00,15.68,0.21,-0.16,15.73
D,4437,2020-10-23 06:00:00,15.68,0.21,-0.16,15.73
D,4437,2020-10-23 06:05:00,16.39,0.23,-0.2,16.42
D,4437,2020-10-23 06:10:00,16.39,0.23,-0.2,16.42
D,4437,2020-10-23 06:15:00,16.48,0.24,-0.08,16.64
D,4437,2020-10-23 06:20:00,16.76,0.11,-0.12,16.75
D,4437,2020-10-23 06:25:00,16.76,0.11,-0.12,16.75
D,4437,2020-10-23 06:30:00,16.76,0.11,-0.12,16.75
D,4437,2020-10-23 06:35:00,24.41,0.03,-0.13,24.31
D,4437,2020-10-23 06:40:00,24.41,0.03,-0.13,24.31
D,4437,2020-10-23 06:45:00,24.41,0.03,-0.13,24.31
D,4437,2020-10-23 06:50:00,29.92,0.04,-0.2,29.76
D,4437,2020-10-23 06:55:00,29.92,0.04,-0.2,29.76
D,4437,2020-10-23 07:00:00,29.92,0.04,-0.2,29.76
D,4437,2020-10-23 07:05:00,29.92,0.04,-0.2,29.76
D,4437,2020-10-23 07:10:00,29.92,0.04,-0.2,29.76
D,4437,2020-10-23 07:15:00,20.7,0.03,-0.26,20.47
D,4437,2020-10-23 07:20:00,20.7,0.03,-0.26,20.47
D,4437,2020-10-23 07:25:00,20.7,0.03,-0.26,20.47
D,4437,2020-10-23 07:30:00,17.34,0.02,-0.2,17.16
D,4437,2020-10-23 07:35:00,17.31,0.02,-0.19,17.14
D,4437,2020-10-23 07:40:00,17.31,0.02,-0.19,17.14
D,4437,2020-10-23 07:45:00,17.29,0.02,-0.19,17.12
D,4437,2020-10-23 07:50:00,17.29,0.02,-0.19,17.12
D,4437,2020-10-23 07:55:00,21.28,0.03,-0.25,21.06
D,4437,2020-10-23 08:00:00,17.29,0.02,-0.22,17.09
D,4437,2020-10-23 08:05:00,20.26,0.03,-0.2,20.09
D,4437,2020-10-23 08:10:00,20.26,0.03,-0.2,20.09
D,4437,2020-10-23 08:15:00,20.26,0.03,-0.2,20.09
D,4437,2020-10-23 08:20:00,16.79,0.02,-0.12,16.69
D,4437,2020-10-23 08:25:00,16.79,0.02,-0.12,16.69
D,4437,2020-10-23 08:30:00,16.79,0.02,-0.12,16.69
D,4437,2020-10-23 08:35:00,30.85,0.04,-0.28,30.61
